"[run number]","wolf-gain-from-food","fix-initialization?","move-one-sheep?","hunt-wolves?","l10-too-many-sheep","initialization-seed","show-energy?","wolf-reproduce","initial-number-wolves","initial-number-sheep","model-version","sheep-gain-from-food","grass-regrowth-time","max-sheep","sheep-reproduce","[step]","count sheep","count wolves","mn-sheep","mx-sheep","mn-wolves","mx-wolves","ticks"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","371","50212","0","8","50212","0","461","371"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","389","50660","0","12","50660","0","333","389"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","366","51163","0","11","51163","0","403","366"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","155","0","473","0","644","45","674","155"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","400","50489","0","2","50489","0","518","400"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","417","51863","0","5","51863","0","441","417"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","449","51077","0","1","51077","0","609","449"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","424","0","8597","0","49573","1","8597","424"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","441","50257","0","1","50257","0","584","441"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","358","51722","0","8","51722","0","428","358"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","374","0","2994","0","11880","1","2994","374"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","365","50308","0","16","50308","0","412","365"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","527","0","172016","0","1279372","1","172016","527"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","358","51595","0","19","51595","0","345","358"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","397","50431","0","4","50431","0","559","397"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","401","50703","0","6","50703","0","454","401"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","155","0","160","0","464","41","499","155"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","373","0","1236","0","1499","6","1236","373"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","402","51485","0","7","51485","0","551","402"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","153","0","278","0","634","33","622","153"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","426","52003","0","4","52003","0","493","426"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","391","51855","0","5","51855","0","500","391"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","386","0","2228","0","4028","1","2228","386"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","393","51010","0","8","51010","0","441","393"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","411","51883","0","5","51883","0","485","411"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","421","50069","0","1","50069","0","544","421"
"1","20","true","false","false","7","123456789","false","5","50","100","sheep-wolves","4","30","50000","4","381","50102","0","7","50102","0","467","381"
